Timestamp,Speed,Lenkwinkel,Ultraschallsensor
2025-06-24 14:59:49,0,90,-2
2025-06-24 15:15:52,40,90,-2
2025-06-24 15:15:53,40,90,-2
2025-06-24 15:15:54,40,90,-2
2025-06-24 15:15:54,40,90,-2
2025-06-24 15:15:55,40,90,91
2025-06-24 15:15:55,40,90,-2
2025-06-24 15:15:56,40,90,-4
2025-06-24 15:15:56,40,90,93
2025-06-24 15:15:56,40,90,198
2025-06-24 15:15:56,40,90,93
2025-06-24 15:15:57,40,90,-2
2025-06-24 15:15:58,40,90,-2
2025-06-24 15:15:58,40,90,311
2025-06-24 15:15:59,40,90,193
2025-06-24 15:15:59,40,90,-2
2025-06-24 15:15:59,40,90,-2
2025-06-24 15:16:00,40,90,-4
2025-06-24 15:16:00,40,90,93
2025-06-24 15:16:01,40,90,-2
2025-06-24 15:16:01,40,90,92
2025-06-24 15:16:01,40,90,-2
2025-06-24 15:16:02,40,90,100
2025-06-24 15:16:03,40,90,-2
2025-06-24 15:16:04,40,90,-2
2025-06-24 15:16:05,40,90,-2
2025-06-24 15:16:05,40,90,-2
2025-06-24 15:16:06,40,90,194
2025-06-24 15:16:07,40,90,-4
2025-06-24 15:16:07,40,90,-2
2025-06-24 15:16:07,40,90,-4
2025-06-24 15:16:08,40,90,-4
2025-06-24 15:16:09,40,90,-4
2025-06-24 15:16:09,40,90,92
2025-06-24 15:16:09,40,90,-2
2025-06-24 15:16:10,40,90,138
2025-06-24 15:16:11,40,90,-4
2025-06-24 15:16:11,40,90,-2
2025-06-24 15:16:12,40,90,-4
2025-06-24 15:16:13,40,90,-2
2025-06-24 15:16:14,40,90,-2
2025-06-24 15:16:14,40,90,-2
2025-06-24 15:16:15,40,90,-4
2025-06-24 15:16:15,40,90,91
2025-06-24 15:16:15,40,90,191
2025-06-24 15:16:16,40,90,-4
2025-06-24 15:16:16,40,90,-2
2025-06-24 15:16:17,40,90,-2
2025-06-24 15:16:17,40,90,-2
2025-06-24 15:16:18,40,90,-4
2025-06-24 15:16:19,40,90,-2
2025-06-24 15:16:20,40,90,-2
2025-06-24 15:16:21,40,90,-2
2025-06-24 15:16:22,40,90,91
2025-06-24 15:16:22,0,90,-2
